Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
91,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,"0,09","$15.477,00","6,98",Houston,2021-04-01,956,9087,3,Foodies,4,April
92,TechCorp,Email,Men 25-34,45 days,Email,"0,09","$17.705,00",7,New York,2021-04-02,628,9545,4,Outdoor Adventurers,4,April
93,Innovate Industries,Display,Women 35-44,15 days,Instagram,"0,05","$18.470,00","2,57",Chicago,2021-04-03,938,7879,10,Fashionistas,4,April
94,NexGen Systems,Display,Men 25-34,45 days,Instagram,"0,01","$14.438,00","7,19",New York,2021-04-04,147,6497,10,Health & Wellness,4,April
95,NexGen Systems,Search,Men 18-24,45 days,Facebook,"0,08","$6.278,00","4,93",Miami,2021-04-05,776,4289,8,Foodies,4,April
96,TechCorp,Social Media,All Ages,15 days,Email,"0,08","$5.185,00","4,61",New York,2021-04-06,108,9532,1,Tech Enthusiasts,4,April
97,Innovate Industries,Email,Women 25-34,15 days,Instagram,"0,14","$18.799,00","3,69",Miami,2021-04-07,395,6079,8,Health & Wellness,4,April
98,Alpha Innovations,Search,All Ages,60 days,Facebook,"0,04","$7.365,00","7,96",New York,2021-04-08,419,4484,1,Fashionistas,4,April
99,Alpha Innovations,Search,All Ages,60 days,Instagram,"0,02","$6.565,00","3,12",New York,2021-04-09,463,6061,8,Foodies,4,April
100,TechCorp,Display,All Ages,60 days,Facebook,"0,09","$9.022,00","5,58",Miami,2021-04-10,521,2572,4,Tech Enthusiasts,4,April
101,NexGen Systems,Search,Men 25-34,45 days,YouTube,"0,07","$18.735,00","4,86",Los Angeles,2021-04-11,706,8715,6,Foodies,4,April
102,TechCorp,Search,Men 18-24,45 days,YouTube,"0,09","$9.941,00","4,54",Chicago,2021-04-12,207,8334,4,Tech Enthusiasts,4,April
103,DataTech Solutions,Influencer,Men 18-24,60 days,Website,"0,08","$10.113,00","6,87",Houston,2021-04-13,583,1005,3,Health & Wellness,4,April
104,DataTech Solutions,Social Media,Men 18-24,15 days,Facebook,"0,1","$8.310,00","7,17",Chicago,2021-04-14,864,6841,3,Tech Enthusiasts,4,April
105,DataTech Solutions,Influencer,Men 18-24,30 days,Google Ads,"0,06","$15.073,00","2,17",Los Angeles,2021-04-15,387,8035,2,Health & Wellness,4,April
106,Innovate Industries,Social Media,Women 25-34,30 days,Email,"0,09","$7.541,00","3,35",Chicago,2021-04-16,560,3439,7,Fashionistas,4,April
107,TechCorp,Influencer,Men 25-34,45 days,Google Ads,"0,11","$14.875,00","6,5",New York,2021-04-17,306,1560,3,Health & Wellness,4,April
108,TechCorp,Email,All Ages,45 days,Email,"0,06","$5.514,00","7,32",Miami,2021-04-18,740,4550,1,Outdoor Adventurers,4,April
109,Innovate Industries,Search,Men 25-34,30 days,Instagram,"0,05","$15.107,00","4,79",Houston,2021-04-19,115,1475,10,Fashionistas,4,April
110,Innovate Industries,Social Media,Women 25-34,15 days,YouTube,"0,1","$13.712,00","6,4",Chicago,2021-04-20,366,3843,3,Fashionistas,4,April
111,Alpha Innovations,Influencer,All Ages,60 days,Facebook,"0,05","$11.789,00","5,39",Houston,2021-04-21,659,3670,9,Outdoor Adventurers,4,April
112,DataTech Solutions,Email,All Ages,30 days,Website,"0,13","$18.335,00","7,58",Los Angeles,2021-04-22,552,3464,5,Health & Wellness,4,April
113,TechCorp,Display,Women 35-44,30 days,Google Ads,"0,02","$19.035,00","2,01",Miami,2021-04-23,560,6945,7,Health & Wellness,4,April
114,DataTech Solutions,Email,Women 25-34,15 days,YouTube,"0,11","$17.655,00","4,04",Los Angeles,2021-04-24,369,8912,4,Health & Wellness,4,April
115,NexGen Systems,Email,Women 25-34,45 days,Google Ads,"0,11","$6.710,00","2,72",Houston,2021-04-25,886,6158,7,Fashionistas,4,April
116,NexGen Systems,Social Media,Women 25-34,15 days,Facebook,"0,09","$9.899,00","3,7",Los Angeles,2021-04-26,447,4878,8,Tech Enthusiasts,4,April
117,Innovate Industries,Email,All Ages,30 days,Instagram,"0,14","$7.032,00","7,86",Chicago,2021-04-27,595,1555,4,Health & Wellness,4,April
118,TechCorp,Social Media,All Ages,45 days,Website,"0,05","$5.174,00","4,98",Houston,2021-04-28,438,9741,1,Tech Enthusiasts,4,April
119,Innovate Industries,Display,Women 35-44,15 days,YouTube,"0,14","$15.679,00","3,71",Los Angeles,2021-04-29,652,3884,7,Foodies,4,April
120,NexGen Systems,Display,All Ages,45 days,YouTube,"0,07","$12.143,00","7,65",Miami,2021-04-30,802,8897,10,Tech Enthusiasts,4,April
456,TechCorp,Email,Men 18-24,15 days,Instagram,"0,05","$18.167,00","3,16",Los Angeles,2021-04-01,917,8122,6,Outdoor Adventurers,4,April
457,Alpha Innovations,Search,Men 18-24,60 days,Facebook,"0,12","$11.054,00","4,37",Chicago,2021-04-02,221,5287,1,Foodies,4,April
458,Innovate Industries,Search,Women 35-44,60 days,YouTube,"0,02","$6.728,00","6,29",Chicago,2021-04-03,856,7061,8,Outdoor Adventurers,4,April
459,NexGen Systems,Influencer,Women 35-44,60 days,YouTube,"0,03","$10.914,00","3,92",Los Angeles,2021-04-04,933,3982,8,Tech Enthusiasts,4,April
460,DataTech Solutions,Email,Women 35-44,15 days,Google Ads,"0,11","$17.313,00","5,81",Houston,2021-04-05,104,6210,5,Foodies,4,April
461,Innovate Industries,Display,Women 35-44,15 days,YouTube,"0,12","$11.095,00","3,59",New York,2021-04-06,988,1689,5,Outdoor Adventurers,4,April
462,Alpha Innovations,Email,Women 35-44,60 days,Google Ads,"0,13","$5.130,00","5,15",Houston,2021-04-07,860,6784,5,Health & Wellness,4,April
463,TechCorp,Social Media,Men 25-34,60 days,YouTube,"0,02","$13.482,00","3,17",Houston,2021-04-08,794,7657,6,Tech Enthusiasts,4,April
464,Innovate Industries,Display,Women 35-44,30 days,YouTube,"0,01","$18.932,00","2,64",New York,2021-04-09,447,9257,3,Health & Wellness,4,April
465,TechCorp,Social Media,Women 25-34,15 days,Facebook,"0,05","$16.093,00","6,53",New York,2021-04-10,610,5628,10,Fashionistas,4,April
466,Alpha Innovations,Influencer,Women 25-34,30 days,Facebook,"0,11","$14.899,00","2,75",New York,2021-04-11,666,6237,4,Fashionistas,4,April
467,Alpha Innovations,Influencer,All Ages,45 days,Facebook,"0,1","$8.127,00","6,95",New York,2021-04-12,330,1955,7,Fashionistas,4,April
468,DataTech Solutions,Email,Women 25-34,60 days,Website,"0,12","$10.839,00","6,05",Chicago,2021-04-13,816,6414,6,Foodies,4,April
469,TechCorp,Social Media,Women 25-34,60 days,YouTube,"0,02","$16.218,00","7,11",New York,2021-04-14,176,5609,4,Foodies,4,April
470,DataTech Solutions,Email,Men 25-34,60 days,Instagram,"0,14","$7.791,00","2,26",Miami,2021-04-15,228,9197,8,Foodies,4,April
471,Innovate Industries,Display,Women 25-34,30 days,YouTube,"0,02","$17.214,00","6,81",New York,2021-04-16,818,2267,1,Outdoor Adventurers,4,April
472,DataTech Solutions,Social Media,Women 25-34,45 days,Instagram,"0,12","$12.922,00",7,Houston,2021-04-17,970,3985,3,Tech Enthusiasts,4,April
473,Innovate Industries,Email,Men 18-24,15 days,Instagram,"0,15","$14.159,00","4,71",Chicago,2021-04-18,518,4366,10,Health & Wellness,4,April
474,TechCorp,Email,Men 25-34,60 days,Instagram,"0,12","$5.428,00","2,82",Houston,2021-04-19,292,6313,4,Health & Wellness,4,April
475,Innovate Industries,Influencer,All Ages,30 days,Email,"0,03","$9.830,00","3,83",New York,2021-04-20,826,4248,10,Fashionistas,4,April
476,Innovate Industries,Search,Women 35-44,45 days,YouTube,"0,02","$17.467,00","5,48",Houston,2021-04-21,120,8525,3,Tech Enthusiasts,4,April
477,Innovate Industries,Email,Men 25-34,45 days,Website,"0,13","$16.475,00","5,56",Miami,2021-04-22,652,2439,4,Foodies,4,April
478,TechCorp,Influencer,All Ages,15 days,Instagram,"0,06","$15.682,00","4,04",Los Angeles,2021-04-23,275,9717,3,Health & Wellness,4,April
479,Innovate Industries,Influencer,Women 25-34,45 days,Instagram,"0,03","$11.186,00","2,47",Miami,2021-04-24,201,1215,1,Fashionistas,4,April
480,Innovate Industries,Search,Women 25-34,15 days,Email,"0,11","$14.889,00","4,65",Chicago,2021-04-25,455,8222,8,Health & Wellness,4,April
481,Innovate Industries,Influencer,Women 35-44,60 days,Instagram,"0,09","$10.706,00","6,57",Chicago,2021-04-26,244,2542,4,Health & Wellness,4,April
482,Innovate Industries,Search,Men 25-34,15 days,Facebook,"0,03","$5.757,00","3,1",Miami,2021-04-27,538,5801,1,Outdoor Adventurers,4,April
483,NexGen Systems,Email,Men 25-34,15 days,Email,"0,09","$18.035,00","7,03",Miami,2021-04-28,147,6930,4,Tech Enthusiasts,4,April
484,NexGen Systems,Influencer,Men 25-34,60 days,Google Ads,"0,03","$5.234,00","6,93",Miami,2021-04-29,149,6815,7,Outdoor Adventurers,4,April
485,NexGen Systems,Search,Men 18-24,60 days,YouTube,"0,06","$12.495,00","4,15",New York,2021-04-30,753,8752,10,Health & Wellness,4,April
821,Alpha Innovations,Influencer,Women 35-44,30 days,Email,"0,14","$9.437,00","4,75",Los Angeles,2021-04-01,268,8855,1,Fashionistas,4,April
822,NexGen Systems,Display,Men 25-34,30 days,Google Ads,"0,12","$14.540,00","2,36",Houston,2021-04-02,738,8562,2,Health & Wellness,4,April
823,TechCorp,Influencer,Men 18-24,30 days,Facebook,"0,08","$13.142,00","2,79",Los Angeles,2021-04-03,768,3518,6,Foodies,4,April
824,Alpha Innovations,Social Media,Women 35-44,15 days,Google Ads,"0,14","$9.497,00","4,26",Miami,2021-04-04,492,1074,9,Tech Enthusiasts,4,April
825,TechCorp,Influencer,All Ages,45 days,Website,"0,08","$7.355,00","5,06",Miami,2021-04-05,432,9726,7,Fashionistas,4,April
826,TechCorp,Social Media,Men 25-34,45 days,Google Ads,"0,07","$10.174,00","7,67",Los Angeles,2021-04-06,901,2192,5,Outdoor Adventurers,4,April
827,Innovate Industries,Influencer,All Ages,45 days,Google Ads,"0,12","$9.860,00","4,67",Los Angeles,2021-04-07,259,9252,4,Health & Wellness,4,April
828,TechCorp,Email,All Ages,45 days,Website,"0,09","$6.078,00","3,86",Miami,2021-04-08,581,3091,7,Foodies,4,April
829,Alpha Innovations,Influencer,Women 25-34,30 days,Email,"0,12","$17.577,00","7,7",Miami,2021-04-09,326,7858,5,Foodies,4,April
830,Alpha Innovations,Display,Women 35-44,30 days,YouTube,"0,05","$14.444,00","6,57",Chicago,2021-04-10,490,1983,3,Outdoor Adventurers,4,April
831,Alpha Innovations,Email,Women 25-34,30 days,Email,"0,03","$11.195,00","7,02",Chicago,2021-04-11,188,3931,10,Fashionistas,4,April
832,NexGen Systems,Influencer,Men 18-24,30 days,Google Ads,"0,08","$11.898,00","3,24",Chicago,2021-04-12,431,9379,2,Outdoor Adventurers,4,April
833,Alpha Innovations,Search,Men 18-24,15 days,Instagram,"0,08","$7.071,00","7,7",Houston,2021-04-13,633,8139,7,Tech Enthusiasts,4,April
834,Innovate Industries,Influencer,Men 25-34,30 days,YouTube,"0,03","$13.411,00","7,44",Los Angeles,2021-04-14,531,9941,5,Foodies,4,April
835,NexGen Systems,Display,Men 25-34,60 days,Instagram,"0,04","$10.620,00","4,7",Houston,2021-04-15,745,6527,4,Foodies,4,April
836,DataTech Solutions,Email,Men 25-34,60 days,Email,"0,03","$6.633,00","6,05",Miami,2021-04-16,876,2847,5,Fashionistas,4,April
837,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,"0,15","$16.501,00","5,58",Houston,2021-04-17,294,2752,1,Foodies,4,April
838,Alpha Innovations,Display,Women 35-44,30 days,Google Ads,"0,11","$6.034,00","6,63",Miami,2021-04-18,739,9752,6,Fashionistas,4,April
839,Innovate Industries,Email,Men 18-24,15 days,Email,"0,03","$19.280,00","3,51",Miami,2021-04-19,695,2349,3,Tech Enthusiasts,4,April
840,Alpha Innovations,Social Media,Women 35-44,30 days,Website,"0,12","$8.545,00","2,02",Miami,2021-04-20,183,1872,8,Foodies,4,April
841,Innovate Industries,Influencer,Men 25-34,30 days,Email,"0,06","$12.901,00","5,44",New York,2021-04-21,371,9404,1,Outdoor Adventurers,4,April
842,Alpha Innovations,Email,Women 25-34,15 days,Google Ads,"0,03","$5.594,00","2,96",Chicago,2021-04-22,422,2749,2,Fashionistas,4,April
843,Alpha Innovations,Influencer,Women 35-44,45 days,Facebook,"0,1","$17.730,00","2,46",Chicago,2021-04-23,408,1024,5,Health & Wellness,4,April
844,TechCorp,Search,Men 25-34,30 days,Instagram,"0,03","$9.168,00","2,89",Miami,2021-04-24,306,9997,10,Outdoor Adventurers,4,April
845,Alpha Innovations,Email,Women 35-44,45 days,Email,"0,09","$14.492,00","6,68",Los Angeles,2021-04-25,330,7555,9,Tech Enthusiasts,4,April
846,Innovate Industries,Email,Men 25-34,15 days,Email,"0,15","$10.251,00","5,52",Chicago,2021-04-26,201,8342,6,Health & Wellness,4,April
847,DataTech Solutions,Influencer,Women 25-34,45 days,Google Ads,"0,07","$6.043,00","2,8",Miami,2021-04-27,241,8376,6,Tech Enthusiasts,4,April
848,NexGen Systems,Search,Women 35-44,15 days,YouTube,"0,01","$5.765,00","2,7",Houston,2021-04-28,645,7700,8,Tech Enthusiasts,4,April
849,Innovate Industries,Display,Women 35-44,60 days,Email,"0,1","$19.703,00","6,98",Miami,2021-04-29,277,9363,10,Fashionistas,4,April
