Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
213,DataTech Solutions,Social Media,Women 25-34,45 days,Email,"0,15","$16.540,00","2,72",Houston,2021-08-01,264,3516,2,Foodies,8,August
214,TechCorp,Display,All Ages,60 days,Email,"0,05","$5.020,00","7,67",Chicago,2021-08-02,773,3130,5,Health & Wellness,8,August
215,Alpha Innovations,Influencer,Women 25-34,45 days,YouTube,"0,06","$13.697,00","2,79",Los Angeles,2021-08-03,999,2557,3,Health & Wellness,8,August
216,Alpha Innovations,Social Media,Women 25-34,30 days,Email,"0,14","$19.308,00","4,39",New York,2021-08-04,726,6296,5,Health & Wellness,8,August
217,NexGen Systems,Search,Women 35-44,30 days,Google Ads,"0,11","$13.185,00","6,06",Houston,2021-08-05,614,9971,10,Fashionistas,8,August
218,DataTech Solutions,Email,Men 18-24,15 days,Instagram,"0,05","$15.880,00","5,85",Los Angeles,2021-08-06,967,9549,5,Tech Enthusiasts,8,August
219,TechCorp,Search,Women 25-34,15 days,Email,"0,08","$13.524,00","3,91",Los Angeles,2021-08-07,167,9596,10,Foodies,8,August
220,Innovate Industries,Influencer,All Ages,15 days,Email,"0,03","$10.536,00",8,New York,2021-08-08,924,3584,10,Fashionistas,8,August
221,Alpha Innovations,Email,Men 18-24,15 days,Email,"0,02","$5.941,00","6,73",Miami,2021-08-09,715,8580,2,Tech Enthusiasts,8,August
222,Alpha Innovations,Email,Men 25-34,15 days,Instagram,"0,09","$12.239,00","2,98",Los Angeles,2021-08-10,198,8847,2,Foodies,8,August
223,DataTech Solutions,Search,Women 25-34,30 days,Facebook,"0,04","$11.973,00","5,36",Los Angeles,2021-08-11,240,5611,6,Fashionistas,8,August
224,TechCorp,Display,Women 35-44,15 days,Google Ads,"0,1","$5.697,00","7,76",Miami,2021-08-12,285,3131,1,Foodies,8,August
225,DataTech Solutions,Email,Men 25-34,30 days,Instagram,"0,12","$6.388,00","6,8",Houston,2021-08-13,159,4073,7,Outdoor Adventurers,8,August
226,NexGen Systems,Influencer,Women 35-44,60 days,Facebook,"0,15","$10.330,00","2,83",Houston,2021-08-14,153,5056,1,Foodies,8,August
227,Innovate Industries,Email,Men 18-24,45 days,Instagram,"0,08","$5.429,00","6,93",Los Angeles,2021-08-15,423,7289,1,Foodies,8,August
228,TechCorp,Influencer,Men 25-34,45 days,Google Ads,"0,15","$16.318,00","5,39",Chicago,2021-08-16,660,1268,1,Health & Wellness,8,August
229,Innovate Industries,Search,Men 25-34,60 days,Website,"0,08","$10.475,00","6,46",Los Angeles,2021-08-17,111,8357,6,Tech Enthusiasts,8,August
230,Alpha Innovations,Search,Women 35-44,30 days,Instagram,"0,02","$14.610,00","5,38",Los Angeles,2021-08-18,820,5111,4,Fashionistas,8,August
