Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
335,Innovate Industries,Search,Women 35-44,15 days,YouTube,"0,05","$5.040,00","7,66",New York,2021-12-01,285,1599,2,Tech Enthusiasts,12,December
336,Innovate Industries,Social Media,All Ages,15 days,Facebook,"0,07","$19.395,00","4,14",Los Angeles,2021-12-02,282,6235,9,Foodies,12,December
337,DataTech Solutions,Influencer,Men 25-34,60 days,Website,"0,02","$6.130,00","3,92",Houston,2021-12-03,497,2308,8,Foodies,12,December
338,Alpha Innovations,Social Media,Women 35-44,15 days,Email,"0,02","$11.045,00","7,34",New York,2021-12-04,577,3950,8,Health & Wellness,12,December
339,TechCorp,Display,Men 18-24,30 days,Website,"0,08","$8.527,00","4,39",Chicago,2021-12-05,902,2391,2,Foodies,12,December
340,DataTech Solutions,Display,Women 25-34,30 days,Website,"0,13","$9.037,00","2,59",Miami,2021-12-06,443,5607,7,Tech Enthusiasts,12,December
341,Innovate Industries,Influencer,Women 25-34,30 days,Facebook,"0,01","$9.524,00","4,16",Chicago,2021-12-07,199,7575,4,Outdoor Adventurers,12,December
342,DataTech Solutions,Search,Men 25-34,15 days,Instagram,"0,07","$5.467,00","4,25",Miami,2021-12-08,531,3279,5,Foodies,12,December
343,DataTech Solutions,Social Media,Women 35-44,30 days,Email,"0,02","$10.894,00","2,15",Chicago,2021-12-09,788,2068,6,Health & Wellness,12,December
344,Innovate Industries,Display,All Ages,60 days,Email,"0,02","$8.583,00","5,82",Los Angeles,2021-12-10,480,2818,9,Foodies,12,December
345,Alpha Innovations,Email,All Ages,60 days,Website,"0,03","$16.700,00","5,59",Houston,2021-12-11,819,8035,1,Outdoor Adventurers,12,December
346,TechCorp,Email,Women 35-44,30 days,Google Ads,"0,13","$16.452,00","6,59",Miami,2021-12-12,747,1720,3,Outdoor Adventurers,12,December
