Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
32,NexGen Systems,Influencer,All Ages,45 days,YouTube,"0,07","$13.245,00","6,83",New York,2021-02-01,309,2885,7,Foodies,2,February
33,NexGen Systems,Display,Women 35-44,45 days,Email,"0,06","$5.796,00","4,42",New York,2021-02-02,367,3218,9,Foodies,2,February
34,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,"0,14","$15.082,00","2,71",Los Angeles,2021-02-03,243,5724,4,Health & Wellness,2,February
35,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,"0,07","$18.332,00","7,81",Houston,2021-02-04,360,5349,6,Fashionistas,2,February
36,TechCorp,Display,Men 25-34,60 days,Instagram,"0,09","$13.256,00","2,51",Miami,2021-02-05,250,7373,3,Health & Wellness,2,February
37,DataTech Solutions,Display,All Ages,45 days,Email,"0,04","$15.779,00","7,24",New York,2021-02-06,822,7152,1,Foodies,2,February
38,Innovate Industries,Influencer,Men 18-24,60 days,Facebook,"0,06","$7.683,00","2,62",Houston,2021-02-07,833,9772,8,Tech Enthusiasts,2,February
39,Innovate Industries,Search,Men 25-34,30 days,Instagram,"0,11","$14.742,00","2,21",Chicago,2021-02-08,663,9473,10,Tech Enthusiasts,2,February
40,Innovate Industries,Search,Men 18-24,45 days,Google Ads,"0,08","$15.495,00","6,97",Chicago,2021-02-09,268,5495,6,Fashionistas,2,February
41,DataTech Solutions,Social Media,All Ages,30 days,Website,"0,04","$18.684,00","4,57",New York,2021-02-10,212,4718,4,Foodies,2,February
42,Alpha Innovations,Search,Men 25-34,45 days,Email,"0,01","$13.096,00","3,44",Los Angeles,2021-02-11,360,2776,1,Foodies,2,February
43,Innovate Industries,Display,Men 25-34,60 days,Instagram,"0,09","$7.818,00","5,6",Houston,2021-02-12,598,8637,5,Fashionistas,2,February
44,Innovate Industries,Display,All Ages,30 days,Instagram,"0,09","$8.214,00","4,77",Chicago,2021-02-13,988,1612,5,Fashionistas,2,February
45,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,"0,04","$6.882,00","3,31",Miami,2021-02-14,282,8038,7,Tech Enthusiasts,2,February
