Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
152,TechCorp,Influencer,Women 35-44,60 days,Website,"0,06","$7.031,00","5,67",Houston,2021-06-01,404,8033,6,Tech Enthusiasts,6,June
153,Alpha Innovations,Display,Women 35-44,15 days,Instagram,"0,06","$5.466,00","2,66",Houston,2021-06-02,257,5756,2,Tech Enthusiasts,6,June
154,Innovate Industries,Influencer,All Ages,30 days,Instagram,"0,11","$15.303,00","7,41",Chicago,2021-06-03,901,8712,2,Foodies,6,June
155,TechCorp,Social Media,Women 35-44,30 days,Instagram,"0,13","$13.157,00","4,41",New York,2021-06-04,724,9573,6,Fashionistas,6,June
156,Innovate Industries,Influencer,All Ages,15 days,Instagram,"0,07","$13.197,00","3,31",Los Angeles,2021-06-05,672,8765,9,Tech Enthusiasts,6,June
157,Alpha Innovations,Display,Men 25-34,30 days,Facebook,"0,09","$19.723,00","4,74",Houston,2021-06-06,148,2746,8,Outdoor Adventurers,6,June
158,NexGen Systems,Display,Men 18-24,60 days,Google Ads,"0,12","$18.903,00","7,24",Miami,2021-06-07,488,4253,1,Tech Enthusiasts,6,June
159,Alpha Innovations,Display,Women 35-44,60 days,Website,"0,06","$17.737,00","4,23",Houston,2021-06-08,420,8196,4,Foodies,6,June
160,DataTech Solutions,Social Media,Women 25-34,30 days,Instagram,"0,08","$16.981,00","5,74",Miami,2021-06-09,395,7469,6,Foodies,6,June
161,TechCorp,Search,All Ages,45 days,Website,"0,05","$15.993,00","6,55",Miami,2021-06-10,616,9536,8,Fashionistas,6,June
162,DataTech Solutions,Social Media,Men 18-24,30 days,YouTube,"0,07","$7.893,00","5,28",Chicago,2021-06-11,170,6306,9,Foodies,6,June
163,TechCorp,Email,Women 25-34,15 days,Google Ads,"0,04","$9.858,00","3,09",Los Angeles,2021-06-12,957,4396,9,Tech Enthusiasts,6,June
164,NexGen Systems,Influencer,Women 35-44,30 days,Email,"0,09","$6.885,00","7,65",Houston,2021-06-13,872,3269,1,Tech Enthusiasts,6,June
165,TechCorp,Email,Men 25-34,30 days,Email,"0,07","$11.587,00","3,17",Houston,2021-06-14,716,2676,9,Foodies,6,June
166,NexGen Systems,Email,All Ages,30 days,Facebook,"0,15","$5.202,00","5,94",New York,2021-06-15,998,5108,3,Fashionistas,6,June
167,Innovate Industries,Search,Men 18-24,15 days,Instagram,"0,08","$15.651,00","7,24",Los Angeles,2021-06-16,481,4165,7,Tech Enthusiasts,6,June
168,NexGen Systems,Display,All Ages,30 days,Website,"0,12","$11.879,00",8,New York,2021-06-17,568,4997,6,Outdoor Adventurers,6,June
169,TechCorp,Influencer,Women 25-34,60 days,Email,"0,03","$12.183,00","4,36",Los Angeles,2021-06-18,421,6087,10,Tech Enthusiasts,6,June
170,TechCorp,Search,All Ages,30 days,Google Ads,"0,07","$10.690,00","5,41",Los Angeles,2021-06-19,797,1306,9,Foodies,6,June
171,TechCorp,Social Media,Men 25-34,30 days,Website,"0,06","$12.886,00","4,62",Miami,2021-06-20,668,2507,8,Foodies,6,June
172,Innovate Industries,Influencer,Men 25-34,15 days,Google Ads,"0,09","$10.854,00","6,1",Houston,2021-06-21,303,9453,2,Health & Wellness,6,June
173,DataTech Solutions,Influencer,All Ages,15 days,YouTube,"0,11","$7.170,00","3,76",Los Angeles,2021-06-22,540,6422,8,Foodies,6,June
174,Innovate Industries,Display,Men 25-34,45 days,Google Ads,"0,15","$17.414,00","6,9",Los Angeles,2021-06-23,801,8439,5,Foodies,6,June
175,Innovate Industries,Search,Men 18-24,15 days,Instagram,"0,1","$12.272,00","5,29",Los Angeles,2021-06-24,436,7817,7,Outdoor Adventurers,6,June
176,Innovate Industries,Social Media,All Ages,15 days,Website,"0,09","$6.489,00","2,22",Chicago,2021-06-25,683,9143,6,Foodies,6,June
177,Innovate Industries,Display,Women 35-44,60 days,YouTube,"0,08","$19.732,00","6,06",Chicago,2021-06-26,862,6773,1,Tech Enthusiasts,6,June
178,Alpha Innovations,Social Media,All Ages,45 days,YouTube,"0,09","$17.837,00","3,84",Houston,2021-06-27,944,9536,6,Foodies,6,June
179,Innovate Industries,Display,All Ages,45 days,Email,"0,13","$11.954,00","4,91",Miami,2021-06-28,241,9184,8,Foodies,6,June
180,Alpha Innovations,Display,Women 35-44,30 days,Google Ads,"0,01","$16.862,00","6,29",Chicago,2021-06-29,200,1513,9,Tech Enthusiasts,6,June
181,TechCorp,Display,All Ages,45 days,Email,"0,07","$8.076,00","4,29",New York,2021-06-30,883,3400,8,Fashionistas,6,June
517,Innovate Industries,Social Media,Men 18-24,15 days,YouTube,"0,02","$13.702,00","4,91",Miami,2021-06-01,353,8771,9,Foodies,6,June
518,Alpha Innovations,Social Media,Women 25-34,45 days,Facebook,"0,04","$18.224,00","7,31",Los Angeles,2021-06-02,682,4781,10,Fashionistas,6,June
519,Alpha Innovations,Influencer,Men 25-34,15 days,Website,"0,05","$15.530,00","6,81",Chicago,2021-06-03,830,7660,8,Outdoor Adventurers,6,June
