Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
60,Innovate Industries,Display,Men 25-34,15 days,Email,"0,05","$10.293,00","6,8",Miami,2021-03-01,256,3421,9,Health & Wellness,3,March
61,DataTech Solutions,Email,Men 25-34,45 days,Email,"0,05","$8.785,00","2,27",New York,2021-03-02,849,9217,5,Fashionistas,3,March
62,TechCorp,Email,Men 25-34,30 days,Email,"0,09","$13.848,00","5,32",Los Angeles,2021-03-03,261,1958,2,Tech Enthusiasts,3,March
63,Innovate Industries,Influencer,Women 35-44,60 days,Email,"0,01","$14.435,00","7,04",Houston,2021-03-04,592,3596,4,Foodies,3,March
64,NexGen Systems,Search,Men 18-24,30 days,Facebook,"0,02","$14.001,00","3,71",Chicago,2021-03-05,201,8702,10,Outdoor Adventurers,3,March
65,DataTech Solutions,Display,All Ages,45 days,Website,"0,11","$8.841,00","7,43",Houston,2021-03-06,648,9122,9,Fashionistas,3,March
66,NexGen Systems,Search,All Ages,60 days,YouTube,"0,04","$11.366,00","7,28",Los Angeles,2021-03-07,187,5048,8,Health & Wellness,3,March
67,Alpha Innovations,Display,Women 25-34,30 days,YouTube,"0,07","$12.910,00","6,33",Miami,2021-03-08,839,5569,7,Foodies,3,March
68,TechCorp,Search,Women 25-34,60 days,YouTube,"0,12","$7.823,00","2,72",New York,2021-03-09,240,2512,6,Tech Enthusiasts,3,March
69,TechCorp,Display,All Ages,15 days,Facebook,"0,03","$11.864,00","7,98",Chicago,2021-03-10,932,9973,9,Tech Enthusiasts,3,March
70,Innovate Industries,Email,All Ages,15 days,Facebook,"0,1","$17.414,00","4,74",Los Angeles,2021-03-11,694,2836,2,Foodies,3,March
71,Alpha Innovations,Search,Men 25-34,30 days,Website,"0,13","$18.201,00","5,58",New York,2021-03-12,202,6745,8,Tech Enthusiasts,3,March
72,Alpha Innovations,Social Media,All Ages,15 days,Email,"0,03","$9.549,00","5,61",Chicago,2021-03-13,416,9187,7,Health & Wellness,3,March
73,TechCorp,Social Media,Women 35-44,15 days,YouTube,"0,13","$16.635,00","7,46",Miami,2021-03-14,576,9999,10,Health & Wellness,3,March
74,NexGen Systems,Influencer,All Ages,45 days,Facebook,"0,1","$9.310,00","5,63",New York,2021-03-15,300,3687,9,Foodies,3,March
75,NexGen Systems,Display,All Ages,15 days,YouTube,"0,11","$5.158,00","6,67",Chicago,2021-03-16,776,4238,3,Health & Wellness,3,March
76,Innovate Industries,Search,Men 25-34,30 days,Instagram,"0,04","$15.182,00","2,03",Houston,2021-03-17,492,7364,2,Fashionistas,3,March
77,Innovate Industries,Display,Men 18-24,45 days,Google Ads,"0,08","$5.703,00","3,23",Chicago,2021-03-18,763,8501,10,Foodies,3,March
78,Innovate Industries,Search,Women 35-44,60 days,Google Ads,"0,02","$12.008,00","4,82",Miami,2021-03-19,817,7892,2,Health & Wellness,3,March
79,NexGen Systems,Display,Women 35-44,45 days,Google Ads,"0,13","$15.850,00","7,74",New York,2021-03-20,791,3594,4,Outdoor Adventurers,3,March
80,Alpha Innovations,Influencer,Women 25-34,30 days,Email,"0,1","$9.813,00","6,57",Miami,2021-03-21,737,9941,6,Fashionistas,3,March
81,Innovate Industries,Influencer,Women 35-44,60 days,Google Ads,"0,14","$19.300,00","7,62",Miami,2021-03-22,159,3643,1,Outdoor Adventurers,3,March
82,NexGen Systems,Social Media,Women 25-34,45 days,YouTube,"0,12","$17.772,00","6,33",New York,2021-03-23,913,1921,5,Foodies,3,March
83,Innovate Industries,Influencer,Women 25-34,60 days,Facebook,"0,1","$17.293,00","3,74",Houston,2021-03-24,238,8969,6,Outdoor Adventurers,3,March
84,NexGen Systems,Search,All Ages,60 days,YouTube,"0,08","$8.398,00","3,99",Miami,2021-03-25,134,3108,1,Health & Wellness,3,March
85,Alpha Innovations,Influencer,Women 35-44,60 days,Email,"0,15","$15.866,00","2,3",Houston,2021-03-26,159,2139,10,Health & Wellness,3,March
86,TechCorp,Social Media,All Ages,30 days,YouTube,"0,13","$7.515,00","7,38",Houston,2021-03-27,635,8489,3,Foodies,3,March
87,DataTech Solutions,Email,Women 25-34,15 days,YouTube,"0,15","$19.026,00","2,22",Miami,2021-03-28,187,2573,10,Fashionistas,3,March
88,TechCorp,Search,Men 18-24,60 days,Facebook,"0,14","$8.280,00","7,89",New York,2021-03-29,537,3042,1,Outdoor Adventurers,3,March
89,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,"0,1","$18.251,00","4,41",New York,2021-03-30,597,8117,6,Tech Enthusiasts,3,March
90,DataTech Solutions,Display,All Ages,15 days,Instagram,"0,07","$13.108,00","2,01",Houston,2021-03-31,550,3839,7,Tech Enthusiasts,3,March
425,TechCorp,Search,Men 18-24,30 days,Google Ads,"0,13","$19.742,00","4,21",Houston,2021-03-01,942,7863,5,Health & Wellness,3,March
426,Innovate Industries,Display,Men 18-24,45 days,Instagram,"0,11","$19.796,00","6,99",Los Angeles,2021-03-02,562,2883,1,Fashionistas,3,March
427,NexGen Systems,Display,Men 18-24,45 days,Website,"0,02","$16.495,00","5,5",Miami,2021-03-03,466,6126,8,Outdoor Adventurers,3,March
428,NexGen Systems,Email,Women 25-34,30 days,Website,"0,07","$11.648,00","4,73",Los Angeles,2021-03-04,184,9142,8,Fashionistas,3,March
429,Alpha Innovations,Social Media,Men 18-24,30 days,Facebook,"0,15","$14.521,00","2,05",New York,2021-03-05,991,2511,2,Foodies,3,March
430,NexGen Systems,Display,Women 35-44,45 days,Instagram,"0,08","$10.618,00","7,34",New York,2021-03-06,671,8433,10,Health & Wellness,3,March
431,Alpha Innovations,Email,Women 25-34,30 days,Website,"0,07","$9.482,00","7,25",Los Angeles,2021-03-07,321,1043,10,Tech Enthusiasts,3,March
432,TechCorp,Search,All Ages,45 days,YouTube,"0,11","$14.929,00","3,46",Miami,2021-03-08,132,4453,1,Outdoor Adventurers,3,March
433,Innovate Industries,Display,Men 25-34,60 days,Google Ads,"0,01","$7.700,00","3,46",Los Angeles,2021-03-09,123,9889,8,Foodies,3,March
434,Alpha Innovations,Social Media,Men 25-34,60 days,Website,"0,08","$9.786,00","6,26",New York,2021-03-10,147,5764,9,Foodies,3,March
435,Alpha Innovations,Influencer,All Ages,30 days,Facebook,"0,05","$13.888,00","2,63",Miami,2021-03-11,469,9923,2,Fashionistas,3,March
436,NexGen Systems,Social Media,All Ages,45 days,Email,"0,09","$12.790,00","5,06",Los Angeles,2021-03-12,285,4009,1,Foodies,3,March
437,DataTech Solutions,Email,Men 18-24,15 days,Google Ads,"0,05","$9.164,00","5,7",Miami,2021-03-13,377,1659,5,Health & Wellness,3,March
438,Innovate Industries,Display,All Ages,30 days,YouTube,"0,06","$12.729,00","3,44",Houston,2021-03-14,299,2099,2,Tech Enthusiasts,3,March
439,NexGen Systems,Social Media,Women 25-34,60 days,Website,"0,09","$19.698,00","4,88",Los Angeles,2021-03-15,963,5724,3,Fashionistas,3,March
440,Alpha Innovations,Search,Men 25-34,45 days,Website,"0,06","$5.680,00","7,68",Los Angeles,2021-03-16,279,6815,6,Outdoor Adventurers,3,March
441,Innovate Industries,Search,Men 25-34,45 days,Facebook,"0,11","$12.492,00","2,55",New York,2021-03-17,656,2093,6,Fashionistas,3,March
442,NexGen Systems,Influencer,Women 35-44,30 days,Email,"0,15","$6.292,00","2,64",Chicago,2021-03-18,466,8207,8,Foodies,3,March
443,TechCorp,Influencer,Men 18-24,30 days,Facebook,"0,07","$19.217,00","7,39",Miami,2021-03-19,789,5994,10,Tech Enthusiasts,3,March
444,NexGen Systems,Influencer,Women 25-34,45 days,Email,"0,12","$15.432,00","4,9",Houston,2021-03-20,520,5179,2,Fashionistas,3,March
445,TechCorp,Search,All Ages,45 days,Instagram,"0,07","$8.593,00","7,13",New York,2021-03-21,200,6668,5,Foodies,3,March
446,Alpha Innovations,Search,All Ages,30 days,Facebook,"0,09","$9.723,00","5,1",Los Angeles,2021-03-22,577,9201,9,Tech Enthusiasts,3,March
447,Alpha Innovations,Email,All Ages,15 days,Google Ads,"0,11","$19.974,00","5,82",Houston,2021-03-23,582,2461,10,Outdoor Adventurers,3,March
448,TechCorp,Influencer,Women 25-34,60 days,Website,"0,04","$18.780,00","3,56",Miami,2021-03-24,221,4514,8,Tech Enthusiasts,3,March
449,Innovate Industries,Influencer,Women 35-44,60 days,YouTube,"0,14","$16.594,00","4,69",Miami,2021-03-25,773,3018,3,Fashionistas,3,March
450,NexGen Systems,Search,Men 18-24,15 days,Facebook,"0,11","$17.226,00","4,09",Miami,2021-03-26,331,5699,6,Foodies,3,March
451,Alpha Innovations,Social Media,Men 18-24,15 days,Instagram,"0,11","$15.664,00","3,76",Chicago,2021-03-27,316,9996,5,Fashionistas,3,March
452,TechCorp,Email,Men 18-24,15 days,Website,"0,04","$10.403,00","5,87",Los Angeles,2021-03-28,301,5921,8,Health & Wellness,3,March
453,Alpha Innovations,Influencer,Women 25-34,60 days,YouTube,"0,02","$9.712,00","4,19",Miami,2021-03-29,116,6836,7,Tech Enthusiasts,3,March
454,Alpha Innovations,Social Media,Women 35-44,15 days,Google Ads,"0,12","$17.117,00","7,41",Houston,2021-03-30,987,9000,4,Foodies,3,March
455,Alpha Innovations,Influencer,Women 25-34,60 days,Google Ads,"0,06","$13.593,00","5,72",Los Angeles,2021-03-31,690,1698,3,Foodies,3,March
790,DataTech Solutions,Search,Men 25-34,45 days,YouTube,"0,05","$13.069,00","4,31",Los Angeles,2021-03-01,675,4947,7,Health & Wellness,3,March
791,Alpha Innovations,Social Media,Women 25-34,30 days,Website,"0,1","$17.626,00","7,38",Miami,2021-03-02,302,6973,2,Health & Wellness,3,March
792,NexGen Systems,Email,Men 18-24,30 days,Google Ads,"0,14","$14.320,00","7,82",Houston,2021-03-03,129,2025,10,Health & Wellness,3,March
793,NexGen Systems,Social Media,All Ages,15 days,Facebook,"0,06","$13.065,00","5,69",Houston,2021-03-04,978,1617,5,Outdoor Adventurers,3,March
794,Innovate Industries,Display,All Ages,60 days,Website,"0,12","$8.877,00","2,96",Chicago,2021-03-05,389,3772,8,Foodies,3,March
795,Alpha Innovations,Search,All Ages,60 days,Facebook,"0,13","$10.485,00","5,43",Houston,2021-03-06,826,2286,6,Foodies,3,March
796,NexGen Systems,Display,All Ages,30 days,Facebook,"0,13","$8.079,00","6,95",Miami,2021-03-07,912,5938,7,Tech Enthusiasts,3,March
797,DataTech Solutions,Influencer,Women 35-44,30 days,Website,"0,12","$10.897,00","4,15",Houston,2021-03-08,717,7714,8,Health & Wellness,3,March
798,DataTech Solutions,Email,Women 35-44,45 days,Website,"0,1","$15.050,00","2,64",Los Angeles,2021-03-09,760,3875,1,Fashionistas,3,March
799,DataTech Solutions,Social Media,Women 25-34,60 days,Google Ads,"0,06","$15.805,00","4,41",Houston,2021-03-10,991,2560,8,Tech Enthusiasts,3,March
800,TechCorp,Display,All Ages,30 days,YouTube,"0,09","$10.188,00","3,12",New York,2021-03-11,424,5019,4,Health & Wellness,3,March
801,DataTech Solutions,Search,Women 25-34,15 days,YouTube,"0,03","$5.525,00","4,49",New York,2021-03-12,721,5015,4,Foodies,3,March
802,TechCorp,Influencer,Men 18-24,15 days,Facebook,"0,13","$7.717,00","3,45",Miami,2021-03-13,818,1522,8,Health & Wellness,3,March
803,TechCorp,Display,Women 35-44,30 days,Instagram,"0,06","$12.548,00","7,65",New York,2021-03-14,505,6839,1,Fashionistas,3,March
804,NexGen Systems,Display,Women 25-34,45 days,Instagram,"0,07","$15.640,00","5,01",Houston,2021-03-15,525,6399,7,Outdoor Adventurers,3,March
805,TechCorp,Social Media,Women 35-44,60 days,YouTube,"0,04","$10.245,00","7,82",Chicago,2021-03-16,252,9223,2,Tech Enthusiasts,3,March
806,TechCorp,Display,Women 25-34,45 days,Google Ads,"0,13","$10.458,00","2,62",Houston,2021-03-17,205,8675,7,Outdoor Adventurers,3,March
807,DataTech Solutions,Email,Men 18-24,15 days,Website,"0,05","$17.431,00","4,14",Houston,2021-03-18,719,2490,5,Tech Enthusiasts,3,March
808,Alpha Innovations,Search,All Ages,15 days,Instagram,"0,06","$18.644,00","5,54",Chicago,2021-03-19,302,9918,7,Outdoor Adventurers,3,March
