Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
121,Innovate Industries,Email,Women 35-44,45 days,Facebook,"0,02","$19.329,00","7,58",Houston,2021-05-01,841,4536,8,Outdoor Adventurers,5,May
122,Innovate Industries,Search,All Ages,60 days,Email,"0,09","$8.854,00","6,78",Chicago,2021-05-02,137,4002,6,Tech Enthusiasts,5,May
123,Alpha Innovations,Influencer,Women 35-44,45 days,YouTube,"0,04","$5.232,00","7,61",New York,2021-05-03,850,6515,5,Foodies,5,May
124,NexGen Systems,Display,Men 25-34,30 days,Instagram,"0,02","$13.006,00","3,7",Chicago,2021-05-04,727,2863,1,Fashionistas,5,May
125,DataTech Solutions,Email,Men 18-24,45 days,Website,"0,13","$5.653,00","6,08",Chicago,2021-05-05,986,4477,10,Foodies,5,May
126,DataTech Solutions,Email,Men 25-34,45 days,Google Ads,"0,02","$18.169,00","5,5",Miami,2021-05-06,259,3941,7,Outdoor Adventurers,5,May
127,DataTech Solutions,Social Media,Men 25-34,45 days,Email,"0,08","$13.316,00","6,15",Los Angeles,2021-05-07,321,7186,2,Fashionistas,5,May
128,NexGen Systems,Email,All Ages,15 days,Email,"0,08","$17.847,00","6,68",Houston,2021-05-08,942,9066,3,Outdoor Adventurers,5,May
129,Alpha Innovations,Email,Men 18-24,45 days,Instagram,"0,06","$10.639,00","4,32",New York,2021-05-09,166,5735,10,Health & Wellness,5,May
130,Innovate Industries,Display,Men 25-34,15 days,YouTube,"0,03","$10.945,00","3,16",Chicago,2021-05-10,508,8054,6,Fashionistas,5,May
131,NexGen Systems,Email,Men 18-24,15 days,Instagram,"0,11","$5.167,00","6,63",New York,2021-05-11,885,1932,7,Fashionistas,5,May
132,DataTech Solutions,Influencer,Men 25-34,60 days,Google Ads,"0,15","$8.300,00","6,65",Chicago,2021-05-12,158,4842,4,Outdoor Adventurers,5,May
133,Innovate Industries,Social Media,Men 25-34,15 days,Instagram,"0,14","$13.469,00","7,54",Houston,2021-05-13,857,4028,8,Fashionistas,5,May
134,TechCorp,Search,Men 25-34,30 days,Facebook,"0,1","$19.254,00","2,41",Miami,2021-05-14,481,1876,7,Foodies,5,May
135,DataTech Solutions,Display,All Ages,60 days,Google Ads,"0,04","$10.704,00","6,46",Chicago,2021-05-15,999,7543,8,Tech Enthusiasts,5,May
136,NexGen Systems,Email,Men 18-24,30 days,Email,"0,15","$9.229,00","3,56",New York,2021-05-16,939,5999,8,Tech Enthusiasts,5,May
137,Alpha Innovations,Social Media,Women 35-44,60 days,Instagram,"0,1","$14.125,00","4,9",Houston,2021-05-17,885,7833,5,Fashionistas,5,May
138,DataTech Solutions,Influencer,All Ages,60 days,Instagram,"0,04","$8.222,00","6,17",Houston,2021-05-18,666,1435,4,Foodies,5,May
139,NexGen Systems,Email,Men 18-24,45 days,Website,"0,07","$14.226,00","3,77",Chicago,2021-05-19,359,9440,8,Outdoor Adventurers,5,May
140,DataTech Solutions,Email,Men 18-24,60 days,Website,"0,06","$18.985,00","4,61",Miami,2021-05-20,328,8840,5,Fashionistas,5,May
141,NexGen Systems,Email,Women 25-34,15 days,Email,"0,08","$5.599,00","3,43",Houston,2021-05-21,571,2404,3,Fashionistas,5,May
142,Innovate Industries,Influencer,All Ages,45 days,Google Ads,"0,08","$11.952,00","3,48",Houston,2021-05-22,845,5702,8,Health & Wellness,5,May
143,Innovate Industries,Display,Women 35-44,15 days,Facebook,"0,05","$14.503,00","3,8",Miami,2021-05-23,585,9150,3,Tech Enthusiasts,5,May
144,DataTech Solutions,Search,Men 25-34,45 days,Instagram,"0,11","$10.404,00","2,41",New York,2021-05-24,418,3556,2,Tech Enthusiasts,5,May
145,TechCorp,Social Media,Men 18-24,30 days,Email,"0,12","$7.484,00","5,86",Houston,2021-05-25,208,8730,2,Outdoor Adventurers,5,May
146,TechCorp,Search,Men 25-34,60 days,Google Ads,"0,03","$7.428,00","4,72",Houston,2021-05-26,556,5179,4,Tech Enthusiasts,5,May
147,TechCorp,Influencer,Men 25-34,15 days,Facebook,"0,1","$11.495,00","5,13",Los Angeles,2021-05-27,734,2612,5,Health & Wellness,5,May
148,TechCorp,Influencer,All Ages,30 days,Facebook,"0,13","$18.957,00","2,83",Los Angeles,2021-05-28,643,2939,4,Tech Enthusiasts,5,May
149,NexGen Systems,Display,Men 18-24,45 days,Instagram,"0,06","$10.772,00","2,94",Chicago,2021-05-29,165,1496,6,Health & Wellness,5,May
150,TechCorp,Search,Women 35-44,60 days,Instagram,"0,14","$6.896,00","2,15",Houston,2021-05-30,693,1290,1,Foodies,5,May
151,NexGen Systems,Search,Men 18-24,60 days,Facebook,"0,13","$13.318,00","2,98",New York,2021-05-31,261,1415,6,Foodies,5,May
486,Alpha Innovations,Display,Women 35-44,45 days,Instagram,"0,08","$8.241,00","7,63",Los Angeles,2021-05-01,368,4360,4,Outdoor Adventurers,5,May
487,DataTech Solutions,Email,Men 18-24,15 days,Email,"0,14","$19.562,00","6,35",Chicago,2021-05-02,194,9417,10,Foodies,5,May
488,NexGen Systems,Display,Women 25-34,30 days,Facebook,"0,05","$19.456,00","7,56",Los Angeles,2021-05-03,172,2838,10,Health & Wellness,5,May
489,NexGen Systems,Social Media,Men 25-34,45 days,YouTube,"0,13","$10.420,00","3,55",Los Angeles,2021-05-04,740,7051,3,Foodies,5,May
490,TechCorp,Social Media,Women 25-34,30 days,Website,"0,11","$17.493,00","6,42",Los Angeles,2021-05-05,580,6874,2,Foodies,5,May
