Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
305,DataTech Solutions,Search,Women 25-34,15 days,Google Ads,"0,1","$14.291,00","2,94",Los Angeles,2021-11-01,872,6875,7,Tech Enthusiasts,11,November
306,DataTech Solutions,Display,Men 18-24,15 days,YouTube,"0,09","$5.189,00","4,71",Miami,2021-11-02,845,2395,9,Health & Wellness,11,November
307,Alpha Innovations,Display,Women 25-34,30 days,YouTube,"0,03","$8.249,00","6,02",New York,2021-11-03,566,9149,10,Tech Enthusiasts,11,November
308,Innovate Industries,Email,Men 18-24,45 days,Facebook,"0,14","$14.830,00","7,55",Los Angeles,2021-11-04,858,8551,1,Tech Enthusiasts,11,November
309,Innovate Industries,Display,Women 35-44,30 days,Website,"0,1","$5.187,00","5,4",Miami,2021-11-05,254,2409,8,Health & Wellness,11,November
310,NexGen Systems,Display,All Ages,30 days,Website,"0,12","$6.813,00","5,59",Houston,2021-11-06,803,2031,3,Foodies,11,November
311,Innovate Industries,Search,All Ages,60 days,Instagram,"0,04","$15.776,00",3,Houston,2021-11-07,325,5452,3,Outdoor Adventurers,11,November
312,Innovate Industries,Social Media,Men 18-24,15 days,Instagram,"0,06","$7.059,00","2,34",Los Angeles,2021-11-08,695,4167,4,Tech Enthusiasts,11,November
313,DataTech Solutions,Influencer,Women 25-34,45 days,Instagram,"0,11","$5.829,00","7,9",Chicago,2021-11-09,195,8154,9,Tech Enthusiasts,11,November
314,TechCorp,Display,All Ages,45 days,Google Ads,"0,09","$8.756,00","4,02",Houston,2021-11-10,513,6124,9,Health & Wellness,11,November
315,TechCorp,Email,All Ages,60 days,Website,"0,14","$13.515,00","5,54",Los Angeles,2021-11-11,645,1813,2,Health & Wellness,11,November
316,NexGen Systems,Social Media,Women 35-44,60 days,Website,"0,1","$11.573,00","3,89",Chicago,2021-11-12,439,1258,1,Foodies,11,November
317,NexGen Systems,Social Media,Women 25-34,45 days,Instagram,"0,02","$18.073,00","4,1",New York,2021-11-13,737,7217,5,Outdoor Adventurers,11,November
318,Innovate Industries,Social Media,Men 18-24,45 days,Website,"0,06","$10.446,00","2,69",Chicago,2021-11-14,568,2153,8,Tech Enthusiasts,11,November
