Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
274,DataTech Solutions,Social Media,All Ages,45 days,Facebook,"0,08","$12.970,00","7,25",Los Angeles,2021-10-01,860,6750,6,Foodies,10,October
275,Alpha Innovations,Influencer,Women 35-44,60 days,Email,"0,06","$8.786,00","7,56",Houston,2021-10-02,397,6102,8,Foodies,10,October
276,NexGen Systems,Influencer,All Ages,60 days,Google Ads,"0,07","$14.623,00","3,05",Los Angeles,2021-10-03,449,7339,1,Fashionistas,10,October
277,DataTech Solutions,Email,Men 25-34,15 days,Instagram,"0,08","$6.326,00","5,2",Miami,2021-10-04,461,7818,2,Health & Wellness,10,October
278,DataTech Solutions,Email,All Ages,30 days,Website,"0,03","$18.728,00","5,48",Houston,2021-10-05,831,9026,10,Health & Wellness,10,October
279,DataTech Solutions,Email,Men 18-24,30 days,Email,"0,14","$12.494,00","7,56",Miami,2021-10-06,631,9863,10,Fashionistas,10,October
280,NexGen Systems,Display,Men 25-34,60 days,Instagram,"0,02","$11.640,00","6,62",Los Angeles,2021-10-07,560,1229,8,Health & Wellness,10,October
281,NexGen Systems,Search,Women 25-34,60 days,Instagram,"0,01","$8.340,00","3,9",Houston,2021-10-08,570,8066,5,Health & Wellness,10,October
282,Alpha Innovations,Display,Women 25-34,60 days,Email,"0,11","$10.909,00","6,21",Los Angeles,2021-10-09,921,2726,2,Outdoor Adventurers,10,October
283,DataTech Solutions,Email,All Ages,60 days,YouTube,"0,05","$12.008,00","3,01",New York,2021-10-10,262,8773,5,Tech Enthusiasts,10,October
284,NexGen Systems,Email,Women 25-34,45 days,Instagram,"0,15","$15.178,00","7,68",Chicago,2021-10-11,294,9365,4,Health & Wellness,10,October
285,Innovate Industries,Search,Women 35-44,30 days,YouTube,"0,02","$8.493,00","6,92",Houston,2021-10-12,257,7802,1,Health & Wellness,10,October
286,TechCorp,Email,Women 35-44,45 days,YouTube,"0,06","$11.813,00","6,03",Miami,2021-10-13,441,6520,6,Fashionistas,10,October
287,Alpha Innovations,Influencer,All Ages,45 days,Instagram,"0,14","$11.491,00","7,08",Chicago,2021-10-14,433,8276,7,Outdoor Adventurers,10,October
288,Innovate Industries,Email,Men 18-24,60 days,Google Ads,"0,05","$13.976,00","5,28",Chicago,2021-10-15,554,8163,4,Outdoor Adventurers,10,October
289,Alpha Innovations,Search,Men 25-34,30 days,Google Ads,"0,02","$6.300,00","4,47",Houston,2021-10-16,704,4780,4,Outdoor Adventurers,10,October
290,TechCorp,Search,Women 35-44,60 days,Instagram,"0,04","$9.263,00","5,88",Houston,2021-10-17,399,8595,4,Health & Wellness,10,October
291,DataTech Solutions,Display,Men 25-34,15 days,Facebook,"0,05","$6.609,00","2,27",New York,2021-10-18,664,4193,4,Foodies,10,October
292,Innovate Industries,Search,Women 35-44,60 days,Website,"0,04","$5.037,00","4,3",Los Angeles,2021-10-19,784,9745,1,Tech Enthusiasts,10,October
293,Innovate Industries,Email,Men 25-34,15 days,Facebook,"0,04","$18.537,00","2,25",Chicago,2021-10-20,697,5523,6,Outdoor Adventurers,10,October
294,TechCorp,Social Media,Women 25-34,30 days,Website,"0,12","$14.238,00","4,53",New York,2021-10-21,552,1050,6,Foodies,10,October
295,DataTech Solutions,Display,Men 18-24,60 days,Website,"0,05","$14.949,00","2,09",Los Angeles,2021-10-22,200,2467,8,Tech Enthusiasts,10,October
296,Innovate Industries,Influencer,Women 25-34,45 days,YouTube,"0,06","$6.243,00","5,09",Houston,2021-10-23,924,5798,8,Health & Wellness,10,October
297,Alpha Innovations,Display,All Ages,30 days,Instagram,"0,05","$12.470,00","7,2",Los Angeles,2021-10-24,247,4962,10,Outdoor Adventurers,10,October
298,TechCorp,Display,Men 25-34,15 days,Google Ads,"0,06","$14.236,00","5,67",Chicago,2021-10-25,801,3054,4,Fashionistas,10,October
299,DataTech Solutions,Display,Men 25-34,60 days,Email,"0,02","$18.677,00","3,71",Los Angeles,2021-10-26,334,1647,1,Foodies,10,October
300,Innovate Industries,Social Media,All Ages,60 days,Email,"0,06","$17.986,00","7,99",Chicago,2021-10-27,199,8846,10,Tech Enthusiasts,10,October
301,Alpha Innovations,Social Media,Women 25-34,15 days,Google Ads,"0,07","$11.553,00","6,05",New York,2021-10-28,420,3838,1,Health & Wellness,10,October
302,Alpha Innovations,Display,Women 25-34,60 days,Website,"0,02","$10.856,00","6,46",Houston,2021-10-29,406,6117,6,Fashionistas,10,October
303,Innovate Industries,Email,Men 18-24,30 days,Google Ads,"0,12","$14.564,00","6,35",Houston,2021-10-30,771,3901,2,Foodies,10,October
304,TechCorp,Email,Men 25-34,30 days,Facebook,"0,03","$7.215,00","6,82",New York,2021-10-31,586,7959,2,Health & Wellness,10,October
639,TechCorp,Search,Men 18-24,45 days,Facebook,"0,12","$7.672,00","3,55",Houston,2021-10-01,344,6487,4,Fashionistas,10,October
640,Alpha Innovations,Email,Men 25-34,45 days,Email,"0,03","$10.127,00","7,04",Miami,2021-10-02,938,9741,2,Tech Enthusiasts,10,October
641,Innovate Industries,Social Media,All Ages,45 days,Email,"0,14","$16.265,00","4,22",New York,2021-10-03,588,5299,6,Fashionistas,10,October
642,NexGen Systems,Influencer,All Ages,15 days,Email,"0,08","$12.399,00","3,65",Chicago,2021-10-04,423,7396,9,Tech Enthusiasts,10,October
643,Innovate Industries,Social Media,Men 18-24,15 days,Google Ads,"0,06","$10.179,00","5,29",Miami,2021-10-05,102,4930,8,Fashionistas,10,October
644,Alpha Innovations,Social Media,Men 25-34,30 days,YouTube,"0,02","$18.123,00","3,83",Houston,2021-10-06,307,1468,10,Fashionistas,10,October
645,NexGen Systems,Influencer,Men 25-34,60 days,Email,"0,05","$5.481,00","4,71",Miami,2021-10-07,496,9383,3,Fashionistas,10,October
646,Innovate Industries,Email,Women 25-34,60 days,Facebook,"0,13","$18.673,00","6,04",Houston,2021-10-08,964,3756,5,Foodies,10,October
647,DataTech Solutions,Social Media,Women 25-34,30 days,Google Ads,"0,1","$16.853,00","4,2",Los Angeles,2021-10-09,174,9853,10,Outdoor Adventurers,10,October
648,NexGen Systems,Influencer,Women 25-34,60 days,Google Ads,"0,14","$18.729,00","2,65",Houston,2021-10-10,373,6003,2,Foodies,10,October
649,Innovate Industries,Email,Women 35-44,15 days,Facebook,"0,09","$8.832,00","6,62",Miami,2021-10-11,268,9943,1,Outdoor Adventurers,10,October
650,Innovate Industries,Email,Women 25-34,60 days,Google Ads,"0,12","$11.318,00","4,56",Chicago,2021-10-12,177,6571,10,Outdoor Adventurers,10,October
651,DataTech Solutions,Display,All Ages,30 days,Facebook,"0,08","$8.396,00","7,53",New York,2021-10-13,345,5864,7,Fashionistas,10,October
652,NexGen Systems,Display,All Ages,30 days,Email,"0,09","$16.132,00","4,4",Houston,2021-10-14,205,2828,1,Fashionistas,10,October
653,Innovate Industries,Social Media,Men 18-24,15 days,YouTube,"0,11","$8.972,00","7,75",Houston,2021-10-15,963,3148,6,Fashionistas,10,October
654,DataTech Solutions,Search,Women 35-44,30 days,Facebook,"0,01","$6.117,00","2,75",Los Angeles,2021-10-16,754,5592,5,Outdoor Adventurers,10,October
655,DataTech Solutions,Email,All Ages,60 days,YouTube,"0,08","$8.036,00","4,14",Houston,2021-10-17,304,8555,6,Tech Enthusiasts,10,October
656,Innovate Industries,Influencer,All Ages,60 days,Instagram,"0,08","$6.987,00","4,06",Chicago,2021-10-18,212,9956,6,Fashionistas,10,October
657,Innovate Industries,Influencer,All Ages,30 days,Instagram,"0,06","$6.760,00","7,88",Los Angeles,2021-10-19,322,1804,2,Fashionistas,10,October
658,Alpha Innovations,Influencer,Women 25-34,15 days,Website,"0,03","$13.907,00","6,77",Miami,2021-10-20,563,8425,3,Health & Wellness,10,October
659,DataTech Solutions,Search,Women 35-44,60 days,Facebook,"0,12","$19.441,00","3,91",Houston,2021-10-21,187,4482,8,Outdoor Adventurers,10,October
660,DataTech Solutions,Social Media,Men 25-34,45 days,Website,"0,13","$10.535,00","2,91",Los Angeles,2021-10-22,334,9784,5,Foodies,10,October
661,Innovate Industries,Influencer,Men 18-24,30 days,Facebook,"0,11","$7.254,00","5,04",Chicago,2021-10-23,302,9367,9,Fashionistas,10,October
662,DataTech Solutions,Email,Men 18-24,15 days,Google Ads,"0,05","$17.392,00","2,39",Houston,2021-10-24,628,7721,4,Tech Enthusiasts,10,October
663,DataTech Solutions,Influencer,Men 25-34,15 days,Email,"0,14","$11.298,00","5,46",Los Angeles,2021-10-25,521,8717,1,Outdoor Adventurers,10,October
664,TechCorp,Social Media,Men 18-24,45 days,Google Ads,"0,08","$11.082,00","5,4",Chicago,2021-10-26,464,3353,3,Foodies,10,October
665,TechCorp,Display,Women 35-44,60 days,Facebook,"0,11","$18.746,00","4,84",New York,2021-10-27,903,3552,10,Tech Enthusiasts,10,October
666,Innovate Industries,Social Media,All Ages,30 days,YouTube,"0,13","$13.923,00","7,28",Los Angeles,2021-10-28,176,8629,3,Tech Enthusiasts,10,October
667,TechCorp,Influencer,Women 35-44,30 days,Email,"0,1","$18.157,00","5,3",Miami,2021-10-29,190,6917,7,Tech Enthusiasts,10,October
668,Innovate Industries,Search,Men 18-24,30 days,Website,"0,15","$6.920,00","7,09",Miami,2021-10-30,942,9530,2,Health & Wellness,10,October
