Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
244,Alpha Innovations,Influencer,Men 25-34,45 days,Google Ads,"0,13","$12.616,00","5,23",New York,2021-09-01,864,1054,6,Fashionistas,9,September
245,DataTech Solutions,Influencer,Women 25-34,30 days,Website,"0,12","$14.856,00","2,05",Chicago,2021-09-02,597,2672,3,Fashionistas,9,September
246,DataTech Solutions,Display,Men 18-24,15 days,Instagram,"0,14","$19.347,00","3,49",Houston,2021-09-03,993,5113,2,Tech Enthusiasts,9,September
247,DataTech Solutions,Social Media,Men 25-34,15 days,Google Ads,"0,15","$14.124,00","6,53",New York,2021-09-04,967,4832,8,Health & Wellness,9,September
248,DataTech Solutions,Social Media,Women 25-34,45 days,Google Ads,"0,15","$9.761,00","3,26",Chicago,2021-09-05,350,4327,10,Outdoor Adventurers,9,September
249,DataTech Solutions,Social Media,Women 35-44,30 days,Google Ads,"0,1","$5.575,00","3,42",Houston,2021-09-06,324,2310,6,Foodies,9,September
250,Alpha Innovations,Display,All Ages,15 days,Email,"0,13","$15.120,00","5,25",Chicago,2021-09-07,897,1928,7,Fashionistas,9,September
251,Innovate Industries,Display,Women 25-34,45 days,Website,"0,1","$16.108,00","2,15",New York,2021-09-08,162,7983,7,Fashionistas,9,September
252,Innovate Industries,Display,Men 18-24,60 days,Email,"0,03","$6.459,00","5,33",Houston,2021-09-09,949,7441,4,Outdoor Adventurers,9,September
253,Alpha Innovations,Search,All Ages,30 days,Email,"0,08","$16.937,00","4,24",Houston,2021-09-10,154,7455,9,Tech Enthusiasts,9,September
254,Innovate Industries,Influencer,Women 35-44,60 days,Facebook,"0,07","$11.092,00","4,55",Los Angeles,2021-09-11,735,7035,7,Foodies,9,September
255,Innovate Industries,Social Media,Women 35-44,30 days,Facebook,"0,05","$6.772,00","5,55",New York,2021-09-12,341,9370,2,Fashionistas,9,September
256,NexGen Systems,Influencer,Men 25-34,30 days,YouTube,"0,08","$7.331,00","2,27",Miami,2021-09-13,222,7421,7,Health & Wellness,9,September
257,Innovate Industries,Display,Men 25-34,45 days,YouTube,"0,02","$16.189,00","6,92",New York,2021-09-14,841,9783,7,Foodies,9,September
258,Innovate Industries,Display,Women 35-44,30 days,Instagram,"0,06","$11.003,00","7,63",Miami,2021-09-15,986,6349,3,Fashionistas,9,September
259,NexGen Systems,Social Media,Men 25-34,15 days,Google Ads,"0,07","$7.726,00","7,64",Houston,2021-09-16,314,4021,4,Tech Enthusiasts,9,September
260,Innovate Industries,Search,Men 25-34,30 days,Website,"0,03","$15.424,00","2,56",New York,2021-09-17,838,9611,6,Tech Enthusiasts,9,September
261,Alpha Innovations,Display,Men 18-24,45 days,Instagram,"0,04","$13.154,00","5,69",Chicago,2021-09-18,394,7139,2,Health & Wellness,9,September
262,Alpha Innovations,Email,Men 18-24,60 days,Google Ads,"0,04","$9.005,00","3,35",Los Angeles,2021-09-19,536,7663,4,Foodies,9,September
263,TechCorp,Search,All Ages,30 days,Google Ads,"0,12","$13.481,00","6,44",Chicago,2021-09-20,143,5377,8,Tech Enthusiasts,9,September
264,TechCorp,Social Media,Men 18-24,45 days,Email,"0,05","$9.957,00","3,16",Houston,2021-09-21,426,4894,10,Health & Wellness,9,September
265,DataTech Solutions,Social Media,Women 25-34,45 days,Facebook,"0,07","$12.840,00","3,29",Houston,2021-09-22,295,9944,9,Foodies,9,September
266,Alpha Innovations,Display,All Ages,30 days,Website,"0,07","$18.572,00","7,1",Chicago,2021-09-23,661,8775,2,Foodies,9,September
267,NexGen Systems,Social Media,Men 18-24,15 days,Website,"0,07","$7.981,00","4,52",Houston,2021-09-24,441,9476,7,Outdoor Adventurers,9,September
268,TechCorp,Search,Women 25-34,30 days,Google Ads,"0,03","$13.134,00","7,66",Houston,2021-09-25,983,3980,4,Outdoor Adventurers,9,September
269,Alpha Innovations,Email,Women 25-34,45 days,Email,"0,09","$17.232,00","3,77",Houston,2021-09-26,354,9225,3,Health & Wellness,9,September
270,Alpha Innovations,Social Media,Men 18-24,45 days,Google Ads,"0,03","$18.883,00","3,54",New York,2021-09-27,570,9730,9,Fashionistas,9,September
271,Innovate Industries,Display,Men 25-34,15 days,Instagram,"0,03","$14.168,00","3,39",New York,2021-09-28,676,4287,1,Health & Wellness,9,September
272,Innovate Industries,Search,Men 25-34,30 days,Email,"0,09","$8.078,00","4,65",Miami,2021-09-29,741,5040,2,Foodies,9,September
273,TechCorp,Search,Women 35-44,15 days,Instagram,"0,06","$19.023,00","7,62",Los Angeles,2021-09-30,274,4451,7,Tech Enthusiasts,9,September
609,TechCorp,Social Media,Women 35-44,15 days,Email,"0,07","$10.770,00","5,86",Miami,2021-09-01,954,6924,4,Tech Enthusiasts,9,September
610,DataTech Solutions,Display,All Ages,15 days,Facebook,"0,06","$5.325,00","5,01",Chicago,2021-09-02,960,2859,8,Health & Wellness,9,September
611,Alpha Innovations,Email,Women 25-34,45 days,Google Ads,"0,04","$8.772,00","6,85",Los Angeles,2021-09-03,584,7334,2,Health & Wellness,9,September
612,Alpha Innovations,Email,Men 18-24,15 days,Website,"0,11","$10.653,00","3,95",Miami,2021-09-04,670,2367,2,Fashionistas,9,September
613,TechCorp,Social Media,All Ages,45 days,YouTube,"0,02","$9.676,00","7,52",New York,2021-09-05,575,9944,2,Outdoor Adventurers,9,September
614,Alpha Innovations,Display,Men 18-24,45 days,Instagram,"0,13","$11.347,00","3,1",Houston,2021-09-06,430,7632,2,Tech Enthusiasts,9,September
615,DataTech Solutions,Influencer,Men 18-24,15 days,Instagram,"0,02","$9.661,00","6,68",New York,2021-09-07,690,4424,3,Tech Enthusiasts,9,September
616,TechCorp,Influencer,Men 25-34,15 days,Facebook,"0,05","$17.881,00","6,01",Los Angeles,2021-09-08,289,7005,8,Foodies,9,September
617,NexGen Systems,Search,Women 25-34,30 days,YouTube,"0,06","$17.440,00","6,66",Miami,2021-09-09,140,7641,8,Foodies,9,September
618,TechCorp,Display,Men 18-24,30 days,Website,"0,08","$7.053,00","7,12",Chicago,2021-09-10,492,1731,8,Tech Enthusiasts,9,September
